"Source:","C:\Users\Kyle\Documents\KiCAD\MAX2769FT2232H\MAX2769FT2232H.sch"
"Date:","19/04/2021 06:03:07"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","95"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digi-Key"
"","","C1","27 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 27PF 50V C0G/NP0 0402 5%","490-12651-1-ND"
"","","C2","470 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 470PF 50V C0G/NP0 0402 10%","490-6242-1-ND"
"","","C3","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C4","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C5","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C6","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C7","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C8","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"","","C9","470 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 470PF 50V C0G/NP0 0402 10%","490-6242-1-ND"
"","","C10","10 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 10000PF 10V X7R 0402 10%","399-7759-1-ND"
"","","C11","10 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 10000PF 10V X7R 0402 10%","399-7759-1-ND"
"","","C12","470 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 470PF 50V C0G/NP0 0402 10%","490-6242-1-ND"
"","","C13","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C14","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C15","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C16","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C17","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C18","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C19","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"","","C20","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
